c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
2276374,"Customer#002276374",890317.4024,3110.74,UNITED STATES,Gj7tbqlYEaqMZEgJ1vz0TkVDBO6YH1iW,34-242-868-1388,accounts doubt silent deposits-- 
1374097,"Customer#001374097",829985.2198999999,8379.45,JAPAN,BX6ES1eivcXZ,22-211-758-8831,"y final platelets doze. express deposits detect. final, pending deposits do"
542677,"Customer#000542677",813930.5839,5739.61,IRAN,WULm2cOR4DXvUijzBJU7,20-514-425-4159,its haggle quickly across the fluff
332053,"Customer#000332053",804272.3246999999,5823.79,IRAQ,jazQl5Iz xDYhs7mvcMjGKU6shT,21-396-270-2764, final instructions. unusual requests detect blithely blithely final dolphins. carefully special accounts use
1738570,"Customer#001738570",794805.3457,588.44,ETHIOPIA,JNpUlnPi lFEL9,15-757-711-4509, the furiously regular deposits. quickly even depende
2273200,"Customer#002273200",788003.8552,8265.33,SAUDI ARABIA,jEVe1wTJaPf3StJTLKzzv49k0XyPp,30-907-112-9527,nic instructions cajole blithely after the carefully ironic pinto beans. slyly ironic pa
329638,"Customer#000329638",786219.2315000001,-989.96,PERU,WG5pEA g Wa OWJNnpyrG0OPA,27-571-997-9225,iously against the always special accounts. packages integrate. iron
401200,"Customer#000401200",779266.5410999999,7563.89,SAUDI ARABIA,mDFm7dQ6lhT5VPY,30-806-539-4790,carefully furiously ironic dolphins. furiously express accounts unwind permanently final requests. quickly r
2964424,"Customer#002964424",776241.5560999999,4144.26,FRANCE,u5oDm7M0d5EHu4siUrpsDpsHrUc,16-350-225-9458,e blithely ironic accounts. courts a
2485999,"Customer#002485999",776009.1124,1952.82,UNITED STATES,FtD9ZPX3xj8tjkf0X31tfs0M1uCPF,34-427-271-1636,ithely pending ideas against the pending courts doze furiously accounts. quickly ironic fo
1898326,"Customer#001898326",774173.3541000001,2088.21,IRAN,FJlocpFbNb7wCkCErw,20-127-178-5679,". deposits believe. fluffy foxes wake quickly. final, "
1508536,"Customer#001508536",758511.1571000001,5787.85,ETHIOPIA,",F2rudZyqfg",15-118-887-4575,hely express accounts. carefully ironic pinto beans detect slyly p
790801,"Customer#000790801",743860.824,-505.85,ALGERIA,BNwb8EB4g7  YDdD,10-744-764-7362,"s. final, special deposits along"
1782004,"Customer#001782004",742277.8349,4769.25,VIETNAM,qMZ0LLZt h,31-545-867-1028, final requests are slyly blithely dogged accounts! furiously bold theodolites around 
2599361,"Customer#002599361",740240.2454,-120.77,JORDAN,"r1vx,blHpNPvG8Uk,Hmmt4z0 Y",23-878-490-1103,s haggle stealthily quickly stealthy as
874580,"Customer#000874580",737609.9308000001,7905.96,VIETNAM,UeLsYxlmZ9ZqDrkqR0k ,31-913-449-3221,"slyly. special, unusual accounts are slyly. special deposits wake furiously! sl"
2321824,"Customer#002321824",735635.4955,589.17,ARGENTINA,k H3wnWLHF1BM hoMPrgKLe,11-237-428-2944,ependencies sleep furiously along the requests. carefully pending instructions w
518653,"Customer#000518653",732697.9524,4216.98,INDIA,m2aqyIyH13lqboNS JsG4Veb5t,18-874-409-7556,bove the furiously even packages. fluffily ironic the
2901583,"Customer#002901583",731383.0803,6605.27,ARGENTINA,wQg Z zh1ABbhEMq7,11-238-706-2594,ress excuses. blithely daring accounts are quickly multiplier
609925,"Customer#000609925",728685.4359999999,9027.15,EGYPT,dkv9gtXJZG,14-493-728-7823,hely among the ironic theodolites. slyly final deposits doubt slyly against the slyly final r
